Dataset,Method,M,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std,TrainTime_mspt_mean,TrainTime_mspt_std
KIN40K,MOE,1000,0.0992132295134323,0.00711948784174953,-1.16280583567748,0.0263005749626051,0.107499391666667,0.00425575270915244
KIN40K,MOE,1100,0.0984664538445486,0.00459974443180867,-1.12818731084879,0.0333486901142838,0.118644975,0.0023431712169355
KIN40K,MOE,1200,0.0953637207075187,0.00426241072467335,-1.12138083541584,0.0229038184399084,0.12772415,0.000498932385824961
KIN40K,MOE,1300,0.0930710644369815,0.00492097945491253,-1.0488412845623,0.0724913849950439,0.133576475,0.00172288866460519
KIN40K,MOE,1400,0.0912798808900061,0.00389436977914875,-1.02030506708426,0.0318281673473437,0.142793908333333,0.00203566019778188
KIN40K,MOE,1500,0.0893661609397846,0.00352046992305956,-0.947688464282881,0.0341975098347102,0.151535458333333,0.00191879249095188
KIN40K,MOE,1600,0.089458551688466,0.00352089092978543,-0.875311399890911,0.0794692812980104,0.162596025,0.00195606738396841
KIN40K,MOE,1700,0.0876798530500104,0.00376631014713001,-0.789993313186996,0.0851591470711238,0.169925983333333,0.000421212701860138
KIN40K,MOE,1800,0.0870182666109762,0.00331205272740556,-0.734670932901613,0.0861653035101664,0.177115275,0.00414677892134366
KIN40K,MOE,1900,0.086267625790716,0.00474352170928779,-0.61777372362612,0.0621804633957187,0.185500008333333,0.000810342582774937
KIN40K,MOE,2000,0.085651483986953,0.00409060148312839,-0.532918825846979,0.0477430966825657,0.195792508333333,0.00265580885999601
KIN40K,MOE,2100,0.0853192911419387,0.00405806259008753,-0.464976087870602,0.035161917365194,0.206021316666667,0.00467692635006778
KIN40K,MOE,2200,0.0848595101088337,0.00410388087700233,-0.304468647739268,0.0658308126508433,0.204191008333333,0.00134714297133168
KIN40K,MOE,2300,0.0845742856557081,0.00408609362718965,-0.177489828848071,0.101439681279952,0.215354108333333,0.00321608818309734
KIN40K,MOE,2400,0.0841996773771313,0.00415778951880355,-0.0871058966938093,0.0783096728394909,0.225569275,0.00201121846603619
KIN40K,MOE,2500,0.0837214511915769,0.00389740039839555,-0.01328749681873,0.0822864174743522,0.23517835,0.00144111825525354
KIN40K,BCM,100,0.543939271637718,0.064914474398763,-0.339330429663206,0.0526814039100419,0.0397754083333333,0.000594644965679804
KIN40K,BCM,200,0.330209264016609,0.0206498041823951,-0.615308529445234,0.0260102575483343,0.0469200166666667,0.000826458694647429
